rotten_tomatoes_link,movie_title,movie_info,critics_consensus,tomatometer_rating,audience_rating,critic_name,review_content
m/home_sweet_hell,Home Sweet Hell,A suburban housewife (Katherine Heigl) with a cheating husband is not above killing the competition to preserve her domestic bliss.,"Home Sweet Hell mistakes misogyny for subversive wit, aiming for black comedy but ending up with a grueling test of viewer endurance that wastes game efforts from its likable leads.",5.0,26.0,Brian Orndorf,"Heigl and Wilson do their best to salvage a sinking ship, putting in fine performances that embrace ghoulishness director Anthony Burns eventually turns away from."
m/new_best_friend,New Best Friend,"Alicia (Mia Kirshner) is a poor girl starting college. Hadley (Meredith Monroe), Julianne (Rachel True) and Sydney (Dominique Swain) are three well-off girls in a row house. Classes begin and Alicia is paired with Hadley to work on a sociology class project. At first rejected, Alicia is finally accepted into Hadley's clique where she is introduced to a world of privilege and dangerous thrills. But her attempts to become one of them ultimately land her in the hospital.","Generic, confusing, and trashy, New Best Friend is a laughably bad, obvious campus whodunit.",5.0,39.0,Rob Blackwelder,"...plays like a badly edited, 91-minute trailer (and) the director can't seem to get a coherent rhythm going. In fact, it doesn't even seem like she tried."
m/first_daughter,First Daughter,"Samantha MacKenzie (Katie Holmes), the daughter of the president of the United States (Michael Keaton), arrives at college with a group of Secret Service agents. Samantha, however, resents their presence and decides she wants to attend school just like a normal student. Her father agrees to recall the agents but secretly assigns James (Marc Blucas), an undercover agent, to pose as a student. They fall in love, but their romance is jeopardized when Samantha learns James' true identity.",First Daughter is a bland and charmless fairy tale that fails to rise above the formula.,8.0,43.0,Willie Waffle,"It's about as magical as a frog that doesn't turn into a prince when you kiss it, but still gives you warts."
m/211,211,Officer Mike Chandler and a young civilian passenger find themselves unprepared and outgunned when fate puts them squarely in-the-crosshairs of a daring bank heist that is being carried out by a fearless team of highly trained and heavily armed men.,211's disjointed assortment of action clichés and uninspired set pieces adds up to roughly zero.,4.0,9.0,Chuck Bowen,Imagine a blend of Paul Haggis's Crash and Ridley Scott's Black Hawk Down and you're close to evoking 211's patchwork garishness.
m/girl_with_the_red_riding_hood,Red Riding Hood,"Young Valerie (Amanda Seyfried) feels torn between two men. She loves Peter, but her parents intend that she marry wealthy Henry. Valerie and Peter are going to run away together, but her sister is killed by a werewolf before they can put their plan into action. The villagers call on the help of Father Solomon (Gary Oldman), a famous monster hunter who warns that the beast takes human form by day. Then Valerie suspects that the werewolf is someone she loves.","Amanda Seyfried is magnetic in Red Riding Hood's starring role, but she's let down by her uninspired leading men and a painfully cliched script.",10.0,39.0,Phil Villarreal,Here's hoping Hardwicke can top this masterpiece with her inevitable adaptation of Jack Jumps Over the Candlestick.
m/the_number_23,The Number 23,"A man's (Jim Carrey) discovery of an obscure book about the number 23 leads him on a descent into darkness. As he becomes more obsessed with its contents, he becomes more convinced that it is, in fact, based on his life. To his horror, he discovers grave consequences in store for the book's main character.","Jim Carrey has been sharp in a number of non-comedic roles, but this lurid, overheated, and self-serious potboiler is not one of them. The Number 23 is clumsy, unengaging, and mostly confusing.",8.0,56.0,Joshua Tyler,"Jim barely gets by as a dramatic actor, as a crazy on the loose in a thriller he's more Looney Tunes than lunatic."
m/blue_lagoon,The Blue Lagoon,"Seven-year-old cousins Emmeline (Elva Josephson) and Richard (Glenn Kohan) survive a shipwreck and find themselves marooned on a beautiful island somewhere in the Pacific Ocean. Under the tutelage of a fellow castaway, Paddy Button (Leo McKern), the two learn the basics of survival. When Paddy dies, however, the now adolescent Emmeline (Brooke Shields) and Richard (Christopher Atkins) are on their own to discover sex, love and loneliness in a tropical paradise.","A piece of lovely dreck, The Blue Lagoon is a naughty fantasy that's also too chaste to be truly entertaining.",8.0,54.0,Scott Weinberg,You can focus on the gorgeous locales or the underage skin. Or you could just watch a much better movie.
m/low_down_dirty_shame,A Low Down Dirty Shame,"After hitting a wall in his case against drug kingpin Ernesto Mendoza (Andrew Divoff), private eye Andre Shame (Keenen Ivory Wayans) quits the police department in disgrace. The wisecracking investigator thinks he's left his old life behind him, but now everything changes when an old chum from the force informs him of a break in the case. With the help of his motor-mouthed secretary, Peaches (Jada Pinkett), Andre leaps back into the action to solve the case and clear his name.","A trifecta of failure for writer-director-star Keenen Ivory Wayans, A Low Down Dirty Shame lives repeatedly and resolutely down to its title.",0.0,71.0,Alison Macor,"I'm not sure what type of movie this is supposed to be or who its audience is, but it's a low down dirty shame that Wayans' talent is wasted on this film."
m/look_whos_talking_now,Look Who's Talking Now,"James (John Travolta) and Mollie Ubriacco (Kirstie Alley) are expanding the family again, this time with Rocks the mutt (Danny DeVito) and Daphne the poodle (Diane Keaton), a mismatched pair who spend their time trading insults the humans can't hear. Meanwhile, James gets a big break working as a private pilot for cosmetic tycoon Samantha (Lysette Anthony), but his employer is determined to pry him away from his wife, his children and, of course, his dogs.",Look Who's Talking Now: Look away.,0.0,29.0,Marc Savlov,"Although Tim Burton had nothing to do with it, this is certainly a nightmare before Christmas."
m/1212891-furry_vengeance,Furry Vengeance,"When Dan Sanders (Brendan Fraser) takes a job overseeing the construction of a supposedly ""green"" housing development in the Oregon woods, he thinks his greatest challenge will be helping his urban-oriented family (Brooke Shields, Matt Prokop) adjust to country life while simultaneously trying to keep his demanding boss happy. But, when the local animals learn that Dan is in charge of their habitat's destruction, the fur flies in an all-out battle between man and nature.","A thin premise stretched far beyond serviceable length, Furry Vengeance subjects Brendan Fraser -- and the audience -- to 92 minutes of abuse.",7.0,32.0,Bill Goodykoontz,"A stupid, mean-spirited little movie that ranks down there with the worst in recent memory. Distant memory, too."
